corvid::Value	WHERE	MAPPED	the Python value mapping (None/bool/int/float/str/bytes/array('f')/list/dict)	golden:values.txt:VTYPE
corvid::Value::Null	WHERE	MAPPED	the Python value mapping (None/bool/int/float/str/bytes/array('f')/list/dict)	golden:values.txt:VTYPE
corvid::Value::Bool	WHERE	MAPPED	the Python value mapping (None/bool/int/float/str/bytes/array('f')/list/dict)	golden:values.txt:VTYPE
corvid::Value::Int	WHERE	MAPPED	the Python value mapping (None/bool/int/float/str/bytes/array('f')/list/dict)	golden:values.txt:VTYPE
corvid::Value::Float	WHERE	MAPPED	the Python value mapping (None/bool/int/float/str/bytes/array('f')/list/dict)	golden:values.txt:VTYPE
corvid::Value::Text	WHERE	MAPPED	the Python value mapping (None/bool/int/float/str/bytes/array('f')/list/dict)	golden:values.txt:VTYPE
corvid::Value::Bytes	WHERE	MAPPED	the Python value mapping (None/bool/int/float/str/bytes/array('f')/list/dict)	golden:values.txt:VTYPE
corvid::Value::Array	WHERE	MAPPED	the Python value mapping (None/bool/int/float/str/bytes/array('f')/list/dict)	golden:values.txt:VTYPE
corvid::Value::Map	WHERE	MAPPED	the Python value mapping (None/bool/int/float/str/bytes/array('f')/list/dict)	golden:values.txt:VTYPE
corvid::Value::Vector	WHERE	MAPPED	the Python value mapping (None/bool/int/float/str/bytes/array('f')/list/dict)	golden:values.txt:VTYPE
corvid::value::MAX_NESTING	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::encode	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::decode	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::get	WHERE	N/A	N/A	nested-path reads are native dict/list traversal
corvid::Value::get_path	WHERE	N/A	N/A	nested-path reads are native dict/list traversal
corvid::Value::as_bool	WHERE	N/A	N/A	documents decode to native Python values; typed accessors are native-language operations
corvid::Value::as_int	WHERE	N/A	N/A	documents decode to native Python values; typed accessors are native-language operations
corvid::Value::as_float	WHERE	N/A	N/A	documents decode to native Python values; typed accessors are native-language operations
corvid::Value::as_text	WHERE	N/A	N/A	documents decode to native Python values; typed accessors are native-language operations
corvid::Value::as_bytes	WHERE	N/A	N/A	documents decode to native Python values; typed accessors are native-language operations
corvid::Value::as_vector	WHERE	N/A	N/A	documents decode to native Python values; typed accessors are native-language operations
corvid::CmpOp	WHERE	MAPPED	FieldRef eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::CmpOp::Eq	WHERE	MAPPED	FieldRef eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::CmpOp::Ne	WHERE	MAPPED	FieldRef eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::CmpOp::Lt	WHERE	MAPPED	FieldRef eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::CmpOp::Le	WHERE	MAPPED	FieldRef eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::CmpOp::Gt	WHERE	MAPPED	FieldRef eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::CmpOp::Ge	WHERE	MAPPED	FieldRef eq/ne/lt/le/gt/ge	golden:queries.txt:QF_*
corvid::Predicate	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Compare	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Exists	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::In	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Between	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::StartsWith	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Contains	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::GeoWithin	Geo	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:geo.txt:26 QF_GEO (the geo-predicate fixture line)
corvid::Predicate::And	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Or	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Not	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::and	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::or	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::eval	WHERE	N/A	N/A	predicate evaluation is engine-internal; bindings pass predicates to Query.filter()/deleteWhere()
corvid::field	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::filter::FieldRef	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::filter::FieldRef::eq	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::filter::FieldRef::ne	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::filter::FieldRef::lt	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	tests/test_value_mapping.py::test_lt_predicate_executes (no fixture line dispatches lt; QF_AND uses ge/le)
corvid::filter::FieldRef::le	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::filter::FieldRef::gt	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::filter::FieldRef::ge	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::filter::FieldRef::exists	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::filter::FieldRef::is_in	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::filter::FieldRef::between	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::filter::FieldRef::starts_with	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::filter::FieldRef::contains	WHERE	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::filter::FieldRef::within_km	Geo	MAPPED	Predicate via field()/and_()/or_()/not_()	golden:geo.txt:26 QF_GEO (the geo-predicate fixture line)
